CVE,Vendor,Product,Name,Added,Description,Action,Due,RansomwareCampaign,Notes,CVSS2,CVSS3x,EPSS,Percentile,KEVPercentile
CVE-2021-27104,Accellion,FTA,Accellion FTA OS Command Injection Vulnerability,11/3/2021,Accellion FTA contains an OS command injection vulnerability exploited via a crafted POST request to various admin endpoints.,Apply updates per vendor instructions.,11/17/2021,Known,,10,9.8,0.01059,0.82499,0.58517
CVE-2021-27102,Accellion,FTA,Accellion FTA OS Command Injection Vulnerability,11/3/2021,Accellion FTA contains an OS command injection vulnerability exploited via a local web service call.,Apply updates per vendor instructions.,11/17/2021,Known,,7.2,7.8,0.00083,0.34561,0.51473
CVE-2021-27101,Accellion,FTA,Accellion FTA SQL Injection Vulnerability,11/3/2021,Accellion FTA contains a SQL injection vulnerability exploited via a crafted host header in a request to document_root.html.,Apply updates per vendor instructions.,11/17/2021,Known,,7.5,9.8,0.00761,0.79180,0.58278
CVE-2021-27103,Accellion,FTA,Accellion FTA Server-Side Request Forgery (SSRF) Vulnerability,11/3/2021,Accellion FTA contains a server-side request forgery (SSRF) vulnerability exploited via a crafted POST request to wmProgressstat.html.,Apply updates per vendor instructions.,11/17/2021,Known,,7.5,9.8,0.01217,0.83847,0.58795
CVE-2021-21017,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Heap-based Buffer Overflow Vulnerability,11/3/2021,Acrobat Acrobat and Reader contain a heap-based buffer overflow vulnerability that could allow an unauthenticated attacker to achieve code execution in the context of the current user.,Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,8.8,0.64257,0.97597,1.00000
CVE-2021-28550,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Use-After-Free Vulnerability,11/3/2021,Adobe Acrobat and Reader contains a use-after-free vulnerability that could allow an unauthenticated attacker to achieve code execution in the context of the current user.,Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,8.8,0.58074,0.97432,0.92127
CVE-2018-4939,Adobe,ColdFusion,Adobe ColdFusion Deserialization of Untrusted Data Vulnerability,11/3/2021,Adobe ColdFusion contains a deserialization of untrusted data vulnerability that could allow for code execution.,Apply updates per vendor instructions.,5/3/2022,Unknown,,10,9.8,0.97226,0.99804,1.00000
CVE-2018-15961,Adobe,ColdFusion,Adobe ColdFusion Unrestricted File Upload Vulnerability,11/3/2021,Adobe ColdFusion contains an unrestricted file upload vulnerability that could allow for code execution.,Apply updates per vendor instructions.,5/3/2022,Unknown,,10,9.8,0.97447,0.99947,1.00000
CVE-2018-4878,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability,11/3/2021,Adobe Flash Player contains a use-after-free vulnerability that could allow for code execution.,The impacted product is end-of-life and should be disconnected if still in use.,5/3/2022,Known,,7.5,9.8,0.97325,0.99867,1.00000
CVE-2020-5735,Amcrest,Cameras and Network Video Recorder (NVR),Amcrest Cameras and NVR Stack-based Buffer Overflow Vulnerability,11/3/2021,"Amcrest cameras and NVR contain a stack-based buffer overflow vulnerability through port 37777 that allows an unauthenticated, remote attacker to crash the device and possibly execute code.",Apply updates per vendor instructions.,5/3/2022,Unknown,,8,8.8,0.02271,0.88518,0.60392
